ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
302	Sibakarab	S i b a k a r a b	Sibakarab	s i b a k a r a b	sibakarab	NA	NA	NA	NA	432	men's names	NA	von Rosenberg (1853)	Mentawai
303	Siwetoe	S i w e t u	Siwetu	s i w ɛ t u	siwɛtu	NA	NA	NA	NA	432	men's names	NA	von Rosenberg (1853)	Mentawai
304	Tahilau	T a h i l a u	Tahilau	t a h i l a u	tahilau	NA	NA	NA	NA	432	men's names	NA	von Rosenberg (1853)	Mentawai
305	Tetjatjat	T e c a c a t	Tecacat	t ɛ t͡ʒ a t͡ʒ a t	tɛt͡ʒat͡ʒat	NA	NA	NA	NA	432	men's names	NA	von Rosenberg (1853)	Mentawai
306	Telokatjeb	T e l o k a c e b	Telokaceb	t ɛ l o k a t͡ʒ ɛ b	tɛlokat͡ʒɛb	NA	NA	NA	NA	432	men's names	NA	von Rosenberg (1853)	Mentawai
307	Ingimanneij	I ng i m a n n e:i	Ingimanne:i	i ŋ i m a n n ɛi̯	iŋimannɛi̯	NA	NA	NA	NA	432	men's names	NA	von Rosenberg (1853)	Mentawai
