ID	Mentawai	Commons	IPA	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
141	bakan	b a k a n	b a k a n	boom	tree	TREE	906	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
142	toitet	t o i t e t	t o i t ɛ t	kokosboom	coconut tree	COCONUT TREE	147	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
143	sageij	s a g e:i	s a ɡ ɛi̯	sagopalm	sago palm	SAGO PALM	2372	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
144	pakau	p a k a u	p a k a u	pinang	pinang	BETELNUT	217	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
145	alieboek	a l i b u k	a l i b u k	nibong	nibong	PALM TREE	1181	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
146	bako	b a k o	b a k o	pisang	pisang	BANANA TREE	1795	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
147	koleh	k o l e '	k o l ɛ ʔ	suikerriet	sugar cane	SUGAR CANE	146	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
148	poolah	p o o l a '	p o o l a ʔ	langkopalm	long-headed palm	PALM TREE	1181	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
149	penilok	p e n i l o k	p ɛ n i l o k	aroeboom	arum		NA	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
150	meketteh	m e k e t t e '	m ɛ k ɛ t t ɛ ʔ	kladdie	kladdie	TARO	351	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
151	gobbie	g o b b i	ɡ o b b i	obie	obie	YAM	410	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
152	doria	d o r i a	d o r i a	doerian	durian		NA	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
153	limau	l i m a u	l i m a u	citroenboom	lemon tree	LEMON	3091	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
154	mangie	m a ng i	m a ŋ i	manggostan	manggostan		NA	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
155	lahro	l a h r o	l a h r o	spaansche peper	spanish pepper	PEPPER	1385	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
156	tjabbei	c a b b e i	t͡ʒ a b b ɛ i	sirie	sirie	BETELNUT	217	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
157	mehgiab	m e ' g i a b	m ɛ ʔ ɡ i a b	bamboe	bamboo	BAMBOO	1927	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
158	sahsa	s a h s a	s a h s a	rotting	decay	ROT	2907	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
159	sitapeijpeij	s i t a p e:i p e:i	s i t a p ɛi̯ p ɛi̯	schulp	shell	SHELL	598	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
160	bohboket	b o ' b o k e t	b o ʔ b o k ɛ t	oester	oyster	OYSTERS	2830	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
161	legoe	l e g u	l ɛ ɡ u	muskiet	mosquito	MOSQUITO	1509	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
162	manies	m a n i s	m a n i s	bij	at	AT	1461	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
163	manies	m a n i s	m a n i s	honig	honey	HONEY	942	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
164	lili	l i l i	l i l i	was	wash	WASH	1453	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
165	sigeb	s i g e b	s i ɡ ɛ b	mier	ant	ANT	587	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
166	singoemin	s i ng u m i n	s i ŋ u m i n	kreeft	lobster	LOBSTER	2397	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
167	kobet	k o b e t	k o b ɛ t	koraal	coral	CORAL ROCK	3179	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
168	iwah	i w a '	i w a ʔ	visch	fish	FISH	227	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
169	sabah	s a b a '	s a b a ʔ	slang	snake	SNAKE	730	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
170	keijra	k e:i r a	k ɛi̯ r a	schildpad	turtle	TURTLE	112	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
171	koinan	k o i n a n	k o i n a n	krokodil	crocodile	CROCODILE	1857	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
172	oemeij	u m e:i	u m ɛi̯	vogel	bird	BIRD	937	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
173	etehloe	e t e h l u	ɛ t ɛ h l u	vogelei	bird's egg	EGG	744	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
174	gaugau	g a u g a u	ɡ a u ɡ a u	hoen	fowl	FOWL	265	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
175	labeij	l a b e:i	l a b ɛi̯	reiger	heron	HERON	758	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
176	adere	a d e r e	a d ɛ r ɛ	perikiet	perikite	PARAKEET	886	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
177	moiriet	m o i r i t	m o i r i t	boschduif	wood pigeon	BIRD	937	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
178	maijang	m a:i a ng	m aːi̯ a ŋ	roofvogel	bird of prey	EAGLE	1905	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
179	ngoeroet	ng u r u t	ŋ u r u t	bejo	bejo	PARAKEET	886	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
180	bilau	b i l a u	b i l a u	aap	monkey	MONKEY	1350	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
181	tjetje	c e c e	t͡ʒ ɛ t͡ʒ ɛ	hert	deer	DEER	1936	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
182	djodjo	j o j o	d͡ʒ o d͡ʒ o	hond	dog	DOG	2009	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
183	kohko	k o h k o	k o h k o	varken	pig	PIG	1337	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
184	biroet	b i r u t	b i r u t	rat	rat	RAT	1490	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
185	mau	m a u	m a u	kat	cat	CAT	1208	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
186	seribenoea	s e r i b e n u a	s ɛ r i b ɛ n u a	mensch	human	PERSON	683	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
187	temandejoe	t e m a n d e y u	t ɛ m a n d ɛ j u	man	man	MAN	1554	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
188	sinanaleb	s i n a n a l e b	s i n a n a l ɛ b	vrouw	woman	WOMAN	962	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
189	toga	t o g a	t o ɡ a	kind	child	CHILD	2099	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
190	okoei	o k u i	o k u i	vader	father	FATHER	1217	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
191	kmaman	k m a m a n	k m a m a n	moeder	mother	MOTHER	1216	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
192	bagie	b a g i	b a ɡ i	zuster	sister	SISTER	1263	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
193	keboe	k e b u	k ɛ b u	broeder	brother	BROTHER	1262	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
194	seraina	s e r a i n a	s ɛ r a i n a	vriend	friend	FRIEND	1325	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
195	oete	u t e	u t ɛ	hoofd	head	HEAD	1256	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
196	alei	a l e i	a l ɛ i	haar	hair	HAIR	1040	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
197	boekkoe	b u k k u	b u k k u	voorhoofd	forehead	FOREHEAD	123	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
198	mata	m a t a	m a t a	oogen	eyes	EYE	1248	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
199	ngoengoe	ng u ng u	ŋ u ŋ u	mond	mouth	MOUTH	674	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
200	gigie	g i g i	ɡ i ɡ i	oor	ear	EAR	1247	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
201	tschon	t s o n	t ʃ o n	tand	tooth	TOOTH	1380	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
202	lilah	l i l a '	l i l a ʔ	tong	tongue	TONGUE	1205	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
203	ellokot	e l l o k o t	ɛ l l o k o t	hals	neck	NECK	1333	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
204	topot	t o p o t	t o p o t	borst	chest	BOX	1465	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
205	bogah	b o g a '	b o ɡ a ʔ	buik	belly	BELLY	1251	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
206	parah	p a r a '	p a r a ʔ	arm	arm	ARM	1673	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
207	kabeij	k a b e:i	k a b ɛi̯	hand	hand	HAND	1277	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
208	magatpa	m a g a t p a	m a ɡ a t p a	dij	thigh	UPPER LEG (THIGH)	471	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
209	dereh	d e r e '	d ɛ r ɛ ʔ	voet	foot	FOOT	1301	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
210	simoengeij	s i m u ng e:i	s i m u ŋ ɛi̯	teen	toe	TOE	1389	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
211	siroeroet	s i r u r u t	s i r u r u t	haarversiersel	hair ornament	ORNAMENT	917	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
212	sekelle	s e k e l l e	s ɛ k ɛ l l ɛ	halsband	collar	COLLAR	2012	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
213	leijleij	l e:i l e:i	l ɛi̯ l ɛi̯	buikversiersel	belly ornament	ORNAMENT	917	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
214	kabiet	k a b i t	k a b i t	schaamgordel	pubic belt	BELT	772	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
215	toerok	t u r o k	t u r o k	mannenhoed	men's hat	HAT	771	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
216	toetoe	t u t u	t u t u	vrouwenhoed	women's hat	HAT	771	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
217	libbei	l i b b e i	l i b b ɛ i	vrouwenkleed	women's dress	DRESS	474	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
218	raurau	r a u r a u	r a u r a u	boog	bow	BOW	994	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
219	loeggoeij	l u g g u:i	l u ɡ ɡ ui̯	pijl	arrow	ARROW	977	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
220	boekboek	b u k b u k	b u k b u k	pijlkoker	quiver	QUIVER (FOR ARROWS)	995	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
221	koerabiet	k u r a b i t	k u r a b i t	schild	shield	SHIELD	1064	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
222	soat	s o a t	s o a t	lans	lance	SPEAR	945	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
223	siloekoet	s i l u k u t	s i l u k u t	sabel	sabre	SWORD	1535	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
224	bliete	b l i t e	b l i t ɛ	dolkmes	dagger knife	KNIFE	1352	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
225	betoeitet	b e t u i t e t	b ɛ t u i t ɛ t	schietgeweer	shotgun	SHOTGUN	3948	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
226	bogohloe	b o g o h l u	b o ɡ o h l u	oorlog	war	WAR	935	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
227	paparat	p a p a r a t	p a p a r a t	kapmes	machete	MACHETE	2680	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
228	niroe	n i r u	n i r u	vijl	file	FILE (TOOL)	3407	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
229	papat	p a p a t	p a p a t	plank	board	BOARD	1227	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
230	loenah	l u n a '	l u n a ʔ	hout	wood	WOOD	1803	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
231	abak	a b a k	a b a k	kano	canoe	CANOE	1970	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
232	knabat	k n a b a t	k n a b a t	schip	ship	SHIP	740	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
233	loeka	l u k a	l u k a	roeispaan	oar	OAR	3137	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
234	soatiwa	s o a t i w a	s o a t i w a	harpoen	harpoon	FISHING SPEAR	841	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
235	kwalie	k w a l i	k w a l i	pan	pan	PAN	31	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
236	laleb	l a l e b	l a l ɛ b	huis	house	HOUSE	1252	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
237	lakkei	l a k k e i	l a k k ɛ i	dorp	village	VILLAGE	930	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
238	tobat	t o b a t	t o b a t	dak	roof	ROOF	769	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
239	sinetoe	s i n e t u	s i n ɛ t u	duivel	devil	DEVIL	3917	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
240	eket	e k e t	ɛ k ɛ t	vogellijm	bird glue	GLUE	1069	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
241	tschoiëlakat	t s o i 'e l a k a t	t ʃ o i ʔɛ l a k a t	boomolie	tree oil	OIL (FROM PLANTS)	2555	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
242	ipoe	i p u	i p u	pijlvergif	arrow poison	POISON	655	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
243	dakdjok	d a k j o k	d a k d͡ʒ o k	koperdraad	copper wire	WIRE	2631	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
244	boelan	b u l a n	b u l a n	tin	tin	TIN (METAL)	893	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
245	lahket	l a h k e t	l a h k ɛ t	medicijn	medicine	MEDICINE	1372	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
246	obeh	o b e '	o b ɛ ʔ	tabak	tobacco	TOBACCO	974	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
247	blikobat	b l i k o b a t	b l i k o b a t	spiegel	mirror	MIRROR	1171	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
248	komang	k o m a ng	k o m a ŋ	katoen	cotton	COTTON	1850	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
249	inoe	i n u	i n u	glasparels	glass beads	BEAD	1860	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
250	nab-nab	n a b - n a b	n a b n a b	schaar	scissors	SHEARS	356	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
251	pingolab	p i ng o l a b	p i ŋ o l a b	naald	needle	NEEDLE (FOR SEWING)	1382	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
252	petie	p e t i	p ɛ t i	kist	chest	BOX	1465	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
253	bliok	b l i o k	b l i o k	bijl	axe	AXE	677	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
254	tahko	t a h k o	t a h k o	kanon	cannon	CANNON	3202	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
255	moneij	m o n e:i	m o n ɛi̯	lading	load	LOAD	1679	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
256	mantgeb	m a n t g e b	m a n t ɡ ɛ b	morgen	tomorrow	TOMORROW	1329	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
257	korreh	k o r r e '	k o r r ɛ ʔ	kikvorsch	frog	FROG	503	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
258	batteh	b a t t e '	b a t t ɛ ʔ	leguaan	iguana	IGUANA	1578	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
259	aloebat	a l u b a t	a l u b a t	duizendpoot	centipede	CENTIPEDE	1974	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
260	rateij	r a t e:i	r a t ɛi̯	begraafplaats	cemetery	GRAVEYARD	3284	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
261	poeloe	p u l u	p u l u	tien	ten	TEN	1515	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
262	dongapoeloe	d o ng a p u l u	d o ŋ a p u l u	twintig	twenty	TWENTY	1710	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
263	telongapoeloe	t e l o ng a p u l u	t ɛ l o ŋ a p u l u	dertig	thirty	THIRTY	1715	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
264	ebatnapoeloe	e b a t n a p u l u	ɛ b a t n a p u l u	veertig	forty	FORTY	1716	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
265	pitongapoeloe	p i t o ng a p u l u	p i t o ŋ a p u l u	zeventig	seventy	SEVENTY	1721	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
266	walongapoeloe	w a l o ng a p u l u	w a l o ŋ a p u l u	tachtig	eighty	EIGHTY	1722	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
267	siwanongpoeloe	s i w a n o ng p u l u	s i w a n o ŋ p u l u	negentig	ninety	NINETY	1724	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
268	singotoe	s i ng o t u	s i ŋ o t u	een honderd	one hundred	HUNDRED	1634	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
269	dongenotoe	d o ng e n o t u	d o ŋ ɛ n o t u	twee honderd	two hundred	TWO HUNDRED	2676	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	mentawai
