GLOSS	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
oar	232	3137	OAR
harpoon	233	841	FISHING SPEAR
pan	234	31	PAN
house	235	1252	HOUSE
village	236	930	VILLAGE
roof	237	769	ROOF
devil	238	3917	DEVIL
bird glue	239	1069	GLUE
tree oil	240	2555	OIL (FROM PLANTS)
arrow poison	241	655	POISON
copper wire	242	2631	WIRE
tin	243	893	TIN (METAL)
medicine	244	1372	MEDICINE
tobacco	245	974	TOBACCO
mirror	246	1171	MIRROR
cotton	247	1850	COTTON
glass beads	248	1860	BEAD
scissors	249	356	SHEARS
needle	250	1382	NEEDLE (FOR SEWING)
axe	251	677	AXE
cannon	252	3202	CANNON
load	253	1679	LOAD
tomorrow	254	1329	TOMORROW
frog	255	503	FROG
iguana	256	1578	IGUANA
centipede	257	1974	CENTIPEDE
cemetery	258	3284	GRAVEYARD
ten	259	1515	TEN
twenty	260	1710	TWENTY
thirty	261	1715	THIRTY
forty	262	1716	FORTY
seventy	263	1721	SEVENTY
eighty	264	1722	EIGHTY
ninety	265	1724	NINETY
one hundred	266	1634	HUNDRED
two hundred	267	2676	TWO HUNDRED
nose	268	1221	NOSE
sago	269	2270	SAGO
shotgun	270	3948	SHOTGUN
gift	271	196	DONATE
