ID,Name,Concepticon_ID,Concepticon_Gloss,Number
170_crocodile,crocodile,1857,CROCODILE,170
171_bird,bird,937,BIRD,171
172_birdsegg,bird's egg,744,EGG,172
173_fowl,fowl,265,FOWL,173
174_heron,heron,758,HERON,174
175_perikite,perikite,886,PARAKEET,175
176_woodpigeon,wood pigeon,937,BIRD,176
177_birdofprey,bird of prey,1905,EAGLE,177
178_bejo,bejo,886,PARAKEET,178
179_monkey,monkey,1350,MONKEY,179
180_deer,deer,1936,DEER,180
181_dog,dog,2009,DOG,181
182_pig,pig,1337,PIG,182
183_rat,rat,1490,RAT,183
184_cat,cat,1208,CAT,184
185_human,human,683,PERSON,185
186_man,man,1554,MAN,186
187_woman,woman,962,WOMAN,187
188_child,child,2099,CHILD,188
189_father,father,1217,FATHER,189
190_mother,mother,1216,MOTHER,190
191_sister,sister,1263,SISTER,191
192_brother,brother,1262,BROTHER,192
193_friend,friend,1325,FRIEND,193
194_head,head,1256,HEAD,194
195_hair,hair,1040,HAIR,195
196_forehead,forehead,123,FOREHEAD,196
197_eyes,eyes,1248,EYE,197
198_mouth,mouth,674,MOUTH,198
199_ear,ear,1247,EAR,199
200_tooth,tooth,1380,TOOTH,200
201_tongue,tongue,1205,TONGUE,201
202_neck,neck,1333,NECK,202
203_chest,chest,1465,BOX,203
204_belly,belly,1251,BELLY,204
205_arm,arm,1673,ARM,205
206_hand,hand,1277,HAND,206
207_thigh,thigh,471,UPPER LEG (THIGH),207
208_foot,foot,1301,FOOT,208
209_toe,toe,1389,TOE,209
210_hairornament,hair ornament,917,ORNAMENT,210
211_collar,collar,2012,COLLAR,211
212_bellyornament,belly ornament,917,ORNAMENT,212
213_pubicbelt,pubic belt,772,BELT,213
214_menshat,men's hat,771,HAT,214
215_womenshat,women's hat,771,HAT,215
216_womensdress,women's dress,474,DRESS,216
217_bow,bow,994,BOW,217
218_arrow,arrow,977,ARROW,218
219_quiver,quiver,995,QUIVER (FOR ARROWS),219
220_shield,shield,1064,SHIELD,220
221_lance,lance,945,SPEAR,221
222_sabre,sabre,1535,SWORD,222
223_daggerknife,dagger knife,1352,KNIFE,223
224_shotgun,shotgun,3948,SHOTGUN,224
225_war,war,935,WAR,225
226_machete,machete,2680,MACHETE,226
227_file,file,3407,FILE (TOOL),227
228_board,board,1227,BOARD,228
229_wood,wood,1803,WOOD,229
230_canoe,canoe,1970,CANOE,230
231_ship,ship,740,SHIP,231
232_oar,oar,3137,OAR,232
233_harpoon,harpoon,841,FISHING SPEAR,233
234_pan,pan,31,PAN,234
235_house,house,1252,HOUSE,235
236_village,village,930,VILLAGE,236
237_roof,roof,769,ROOF,237
238_devil,devil,3917,DEVIL,238
239_birdglue,bird glue,1069,GLUE,239
240_treeoil,tree oil,2555,OIL (FROM PLANTS),240
241_arrowpoison,arrow poison,655,POISON,241
242_copperwire,copper wire,2631,WIRE,242
243_tin,tin,893,TIN (METAL),243
244_medicine,medicine,1372,MEDICINE,244
245_tobacco,tobacco,974,TOBACCO,245
246_mirror,mirror,1171,MIRROR,246
247_cotton,cotton,1850,COTTON,247
248_glassbeads,glass beads,1860,BEAD,248
249_scissors,scissors,356,SHEARS,249
250_needle,needle,1382,NEEDLE (FOR SEWING),250
251_axe,axe,677,AXE,251
252_cannon,cannon,3202,CANNON,252
253_load,load,1679,LOAD,253
254_tomorrow,tomorrow,1329,TOMORROW,254
255_frog,frog,503,FROG,255
256_iguana,iguana,1578,IGUANA,256
257_centipede,centipede,1974,CENTIPEDE,257
258_cemetery,cemetery,3284,GRAVEYARD,258
259_ten,ten,1515,TEN,259
260_twenty,twenty,1710,TWENTY,260
261_thirty,thirty,1715,THIRTY,261
262_forty,forty,1716,FORTY,262
263_seventy,seventy,1721,SEVENTY,263
264_eighty,eighty,1722,EIGHTY,264
265_ninety,ninety,1724,NINETY,265
266_onehundred,one hundred,1634,HUNDRED,266
267_twohundred,two hundred,2676,TWO HUNDRED,267
268_nose,nose,1221,NOSE,268
269_sago,sago,2270,SAGO,269
270_shotgun,shotgun,3948,SHOTGUN,270
271_gift,gift,196,DONATE,271
