ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CommonTranscription
Mentawai-38_lie-1,39,Mentawai,38_lie,popogoij,popogoij,p o p o ɡ oːi̯,,VonRosenberg1853,,,^ p o p o g oij$,default,popogo:i
Mentawai-39_rowing-1,40,Mentawai,39_rowing,loeka,loeka,l u k a,,VonRosenberg1853,,,^ l oe k a $,default,luka
Mentawai-40_work-1,41,Mentawai,40_work,galeij,galeij,ɡ a l ɛi̯,,VonRosenberg1853,,,^ g a l eij $,default,gale:i
Mentawai-41_thinking-1,42,Mentawai,41_thinking,goeaba,goeaba,ɡ u a b a,,VonRosenberg1853,,,^ g oe a b a $,default,guaba
Mentawai-42_smell-1,43,Mentawai,42_smell,idoe,idoe,i d u,,VonRosenberg1853,,,^ i d oe $,default,idu
Mentawai-43_bind-1,44,Mentawai,43_bind,abara,abara,a b a r a,,VonRosenberg1853,,,^ a b a r a $,default,abara
Mentawai-44_marrying-1,45,Mentawai,44_marrying,melija,melija,m ɛ l i j a,,VonRosenberg1853,,,^ m e l i j a $,default,meliya
Mentawai-45_regards-1,46,Mentawai,45_regards,moele-moele,moele-moele,m u l ɛ <<->> m u l ɛ,,VonRosenberg1853,,,^ m oe l e <-> m oe l e $,default,mule-mule
Mentawai-46_swimming-1,47,Mentawai,46_swimming,melala,melala,m ɛ l a l a,,VonRosenberg1853,,,^ m e l a l a $,default,melala
Mentawai-47_archery-1,48,Mentawai,47_archery,tjilagoeij,tjilagoeij,t͡ʒ i l a ɡ ui̯,,VonRosenberg1853,,,^ tj i l a g oeij $,default,cilagu:i
Mentawai-48_dance-1,49,Mentawai,48_dance,simaliet,simaliet,s i m a l i t,,VonRosenberg1853,,,^ s i m a l ie t $,default,simalit
Mentawai-49_sing-1,50,Mentawai,49_sing,oereij,oereij,u r ɛi̯,,VonRosenberg1853,,,^ oe r eij $,default,ure:i
Mentawai-50_diving-1,51,Mentawai,50_diving,djina,djina,d͡ʒ i n a,,VonRosenberg1853,,,^ dj i n a $,default,jina
Mentawai-51_fishing-1,52,Mentawai,51_fishing,kapira,kapira,k a p i r a,,VonRosenberg1853,,,^ k a p i r a $,default,kapira
Mentawai-52_forgotten-1,53,Mentawai,52_forgotten,kaliba,kaliba,k a l i b a,,VonRosenberg1853,,,^ k a l i b a $,default,kaliba
Mentawai-53_ask-1,54,Mentawai,53_ask,nobno,nobno,n o b n o,,VonRosenberg1853,,,^ n o b n o $,default,nobno
Mentawai-54_bring-1,55,Mentawai,54_bring,ake,ake,a k ɛ,,VonRosenberg1853,,,^ a k e $,default,ake
Mentawai-55_wait-1,56,Mentawai,55_wait,mabehoola,mabehoola,m a b ɛ h o o l a,,VonRosenberg1853,,,^ m a b e h o o l a $,default,mabehoola
Mentawai-56_can-1,57,Mentawai,56_can,momoilejoe,momoilejoe,m o m o i l ɛ j u,,VonRosenberg1853,,,^ m o m o i l e j oe $,default,momoileyu
Mentawai-57_its-1,58,Mentawai,57_its,elejoe,elejoe,ɛ l ɛ j u,,VonRosenberg1853,,,^ e l e j oe $,default,eleyu
Mentawai-58_become-1,59,Mentawai,58_become,kawat,kawat,k a w a t,,VonRosenberg1853,,,^ k a w a t $,default,kawat
Mentawai-59_alive-1,60,Mentawai,59_alive,baramata,baramata,b a r a m a t a,,VonRosenberg1853,,,^ b a r a m a t a $,default,baramata
Mentawai-60_dead-2,61,Mentawai,60_dead,matean,matean,m a t ɛ a n,,VonRosenberg1853,,,^ m a t e a n $,default,matean
Mentawai-61_great-1,62,Mentawai,61_great,ebejo,ebejo,ɛ b ɛ j o,,VonRosenberg1853,,,^ e b e j o $,default,ebeyo
Mentawai-62_small-1,63,Mentawai,62_small,ngosoh,ngosoh,ŋ o s o ʔ,,VonRosenberg1853,,,^ ng o s o h$,default,ngoso'
Mentawai-63_straight-1,64,Mentawai,63_straight,mereboe,mereboe,m ɛ r ɛ b u,,VonRosenberg1853,,,^ m e r e b oe $,default,merebu
Mentawai-64_crooked-1,65,Mentawai,64_crooked,mebijau,mebijau,m ɛ b i j a u,,VonRosenberg1853,,,^ m e b i j a u $,default,mebiyau
Mentawai-65_long-1,66,Mentawai,65_long,narda,narda,n a r d a,,VonRosenberg1853,,,^ n a r d a $,default,narda
