ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,CommonTranscription
Mentawai-175_perikite-1,176,Mentawai,175_perikite,adere,adere,a d ɛ r ɛ,,VonRosenberg1853,,,^ a d e r e $,default,adere
Mentawai-176_woodpigeon-1,177,Mentawai,176_woodpigeon,moiriet,moiriet,m o i r i t,,VonRosenberg1853,,,^ m o i r ie t $,default,moirit
Mentawai-177_birdofprey-1,178,Mentawai,177_birdofprey,maijang,maijang,m aːi̯ a ŋ,,VonRosenberg1853,,,^ m aij a ng $,default,ma:iang
Mentawai-178_bejo-1,179,Mentawai,178_bejo,ngoeroet,ngoeroet,ŋ u r u t,,VonRosenberg1853,,,^ ng oe r oe t $,default,ngurut
Mentawai-179_monkey-1,180,Mentawai,179_monkey,bilau,bilau,b i l a u,,VonRosenberg1853,,,^ b i l a u $,default,bilau
Mentawai-180_deer-1,181,Mentawai,180_deer,tjetje,tjetje,t͡ʒ ɛ t͡ʒ ɛ,,VonRosenberg1853,,,^ tj e tj e $,default,cece
Mentawai-181_dog-1,182,Mentawai,181_dog,djodjo,djodjo,d͡ʒ o d͡ʒ o,,VonRosenberg1853,,,^ dj o dj o $,default,jojo
Mentawai-182_pig-1,183,Mentawai,182_pig,kohko,kohko,k o h k o,,VonRosenberg1853,,,^ k o h k o $,default,kohko
Mentawai-183_rat-1,184,Mentawai,183_rat,biroet,biroet,b i r u t,,VonRosenberg1853,,,^ b i r oe t $,default,birut
Mentawai-184_cat-1,185,Mentawai,184_cat,mau,mau,m a u,,VonRosenberg1853,,,^ m a u $,default,mau
Mentawai-185_human-1,186,Mentawai,185_human,seribenoea,seribenoea,s ɛ r i b ɛ n u a,,VonRosenberg1853,,,^ s e r i b e n oe a $,default,seribenua
Mentawai-186_man-1,187,Mentawai,186_man,temandejoe,temandejoe,t ɛ m a n d ɛ j u,,VonRosenberg1853,,,^ t e m a n d e j oe $,default,temandeyu
Mentawai-187_woman-1,188,Mentawai,187_woman,sinanaleb,sinanaleb,s i n a n a l ɛ b,,VonRosenberg1853,,,^ s i n a n a l e b $,default,sinanaleb
Mentawai-188_child-1,189,Mentawai,188_child,toga,toga,t o ɡ a,,VonRosenberg1853,,,^ t o g a $,default,toga
Mentawai-189_father-1,190,Mentawai,189_father,okoei,okoei,o k u i,,VonRosenberg1853,,,^ o k oe i $,default,okui
Mentawai-190_mother-1,191,Mentawai,190_mother,kmaman,kmaman,k m a m a n,,VonRosenberg1853,,,^ k m a m a n $,default,kmaman
Mentawai-191_sister-1,192,Mentawai,191_sister,bagie,bagie,b a ɡ i,,VonRosenberg1853,,,^ b a g ie $,default,bagi
Mentawai-192_brother-1,193,Mentawai,192_brother,keboe,keboe,k ɛ b u,,VonRosenberg1853,,,^ k e b oe $,default,kebu
Mentawai-193_friend-1,194,Mentawai,193_friend,seraina,seraina,s ɛ r a i n a,,VonRosenberg1853,,,^ s e r a i n a $,default,seraina
Mentawai-194_head-1,195,Mentawai,194_head,oete,oete,u t ɛ,,VonRosenberg1853,,,^ oe t e $,default,ute
Mentawai-195_hair-1,196,Mentawai,195_hair,alei,alei,a l ɛ i,,VonRosenberg1853,,,^ a l e i $,default,alei
Mentawai-196_forehead-1,197,Mentawai,196_forehead,boekkoe,boekkoe,b u k k u,,VonRosenberg1853,,,^ b oe k k oe $,default,bukku
Mentawai-197_eyes-1,198,Mentawai,197_eyes,mata,mata,m a t a,,VonRosenberg1853,,,^ m a t a $,default,mata
Mentawai-198_mouth-1,199,Mentawai,198_mouth,ngoengoe,ngoengoe,ŋ u ŋ u,,VonRosenberg1853,,,^ ng oe ng oe $,default,ngungu
Mentawai-199_ear-1,200,Mentawai,199_ear,gigie,gigie,ɡ i ɡ i,,VonRosenberg1853,,,^ g i g ie $,default,gigi
Mentawai-200_tooth-1,201,Mentawai,200_tooth,tschon,tschon,tʃ t͡ʒ h o n,,VonRosenberg1853,,,^ts c h o n $,default,tson
Mentawai-201_tongue-1,202,Mentawai,201_tongue,lilah,lilah,l i l a ʔ,,VonRosenberg1853,,,^ l i l a h$,default,lila'
Mentawai-202_neck-1,203,Mentawai,202_neck,ellokot,ellokot,ɛ l l o k o t,,VonRosenberg1853,,,^ e l l o k o t $,default,ellokot
Mentawai-203_chest-1,204,Mentawai,203_chest,topot,topot,t o p o t,,VonRosenberg1853,,,^ t o p o t $,default,topot
Mentawai-204_belly-1,205,Mentawai,204_belly,bogah,bogah,b o ɡ a ʔ,,VonRosenberg1853,,,^ b o g a h$,default,boga'
Mentawai-205_arm-1,206,Mentawai,205_arm,parah,parah,p a r a ʔ,,VonRosenberg1853,,,^ p a r a h$,default,para'
Mentawai-206_hand-1,207,Mentawai,206_hand,kabeij,kabeij,k a b ɛi̯,,VonRosenberg1853,,,^ k a b eij $,default,kabe:i
Mentawai-207_thigh-1,208,Mentawai,207_thigh,magatpa,magatpa,m a ɡ a t p a,,VonRosenberg1853,,,^ m a g a t p a $,default,magatpa
Mentawai-208_foot-1,209,Mentawai,208_foot,dereh,dereh,d ɛ r ɛ ʔ,,VonRosenberg1853,,,^ d e r e h$,default,dere'
Mentawai-209_toe-1,210,Mentawai,209_toe,simoengeij,simoengeij,s i m u ŋ ɛi̯,,VonRosenberg1853,,,^ s i m oe ng eij $,default,simunge:i
Mentawai-210_hairornament-1,211,Mentawai,210_hairornament,siroeroet,siroeroet,s i r u r u t,,VonRosenberg1853,,,^ s i r oe r oe t $,default,sirurut
Mentawai-211_collar-1,212,Mentawai,211_collar,sekelle,sekelle,s ɛ k ɛ l l ɛ,,VonRosenberg1853,,,^ s e k e l l e $,default,sekelle
Mentawai-212_bellyornament-1,213,Mentawai,212_bellyornament,leijleij,leijleij,l ɛi̯ l ɛi̯,,VonRosenberg1853,,,^ l eij l eij $,default,le:ile:i
Mentawai-213_pubicbelt-1,214,Mentawai,213_pubicbelt,kabiet,kabiet,k a b i t,,VonRosenberg1853,,,^ k a b ie t $,default,kabit
Mentawai-214_menshat-1,215,Mentawai,214_menshat,toerok,toerok,t u r o k,,VonRosenberg1853,,,^ t oe r o k $,default,turok
Mentawai-215_womenshat-1,216,Mentawai,215_womenshat,toetoe,toetoe,t u t u,,VonRosenberg1853,,,^ t oe t oe $,default,tutu
Mentawai-216_womensdress-1,217,Mentawai,216_womensdress,libbei,libbei,l i b b ɛ i,,VonRosenberg1853,,,^ l i b b e i $,default,libbei
Mentawai-217_bow-1,218,Mentawai,217_bow,raurau,raurau,r a u r a u,,VonRosenberg1853,,,^ r a u r a u $,default,raurau
Mentawai-218_arrow-1,219,Mentawai,218_arrow,loeggoeij,loeggoeij,l u ɡ ɡ ui̯,,VonRosenberg1853,,,^ l oe g g oeij $,default,luggu:i
Mentawai-219_quiver-1,220,Mentawai,219_quiver,boekboek,boekboek,b u k b u k,,VonRosenberg1853,,,^ b oe k b oe k $,default,bukbuk
Mentawai-220_shield-1,221,Mentawai,220_shield,koerabiet,koerabiet,k u r a b i t,,VonRosenberg1853,,,^ k oe r a b ie t $,default,kurabit
Mentawai-221_lance-1,222,Mentawai,221_lance,soat,soat,s o a t,,VonRosenberg1853,,,^ s o a t $,default,soat
Mentawai-222_sabre-1,223,Mentawai,222_sabre,siloekoet,siloekoet,s i l u k u t,,VonRosenberg1853,,,^ s i l oe k oe t $,default,silukut
Mentawai-223_daggerknife-1,224,Mentawai,223_daggerknife,bliete,bliete,b l i t ɛ,,VonRosenberg1853,,,^ b l ie t e $,default,blite
Mentawai-270_shotgun-1,225,Mentawai,270_shotgun,betoeitet,betoeitet,b ɛ t u i t ɛ t,,VonRosenberg1853,,,^ b e t oe i t e t $,default,betuitet
Mentawai-225_war-1,226,Mentawai,225_war,bogohloe,bogohloe,b o ɡ o h l u,,VonRosenberg1853,,,^ b o g o h l oe $,default,bogohlu
Mentawai-226_machete-1,227,Mentawai,226_machete,paparat,paparat,p a p a r a t,,VonRosenberg1853,,,^ p a p a r a t $,default,paparat
Mentawai-227_file-1,228,Mentawai,227_file,niroe,niroe,n i r u,,VonRosenberg1853,,,^ n i r oe $,default,niru
Mentawai-228_board-1,229,Mentawai,228_board,papat,papat,p a p a t,,VonRosenberg1853,,,^ p a p a t $,default,papat
Mentawai-229_wood-1,230,Mentawai,229_wood,loenah,loenah,l u n a ʔ,,VonRosenberg1853,,,^ l oe n a h$,default,luna'
Mentawai-230_canoe-1,231,Mentawai,230_canoe,abak,abak,a b a k,,VonRosenberg1853,,,^ a b a k $,default,abak
Mentawai-231_ship-1,232,Mentawai,231_ship,knabat,knabat,k n a b a t,,VonRosenberg1853,,,^ k n a b a t $,default,knabat
Mentawai-232_oar-1,233,Mentawai,232_oar,loeka,loeka,l u k a,,VonRosenberg1853,,,^ l oe k a $,default,luka
Mentawai-233_harpoon-1,234,Mentawai,233_harpoon,soatiwa,soatiwa,s o a t i w a,,VonRosenberg1853,,,^ s o a t i w a $,default,soatiwa
Mentawai-234_pan-1,235,Mentawai,234_pan,kwalie,kwalie,k w a l i,,VonRosenberg1853,,,^ k w a l ie $,default,kwali
Mentawai-235_house-1,236,Mentawai,235_house,laleb,laleb,l a l ɛ b,,VonRosenberg1853,,,^ l a l e b $,default,laleb
Mentawai-236_village-1,237,Mentawai,236_village,lakkei,lakkei,l a k k ɛ i,,VonRosenberg1853,,,^ l a k k e i $,default,lakkei
Mentawai-237_roof-1,238,Mentawai,237_roof,tobat,tobat,t o b a t,,VonRosenberg1853,,,^ t o b a t $,default,tobat
Mentawai-238_devil-1,239,Mentawai,238_devil,sinetoe,sinetoe,s i n ɛ t u,,VonRosenberg1853,,,^ s i n e t oe $,default,sinetu
Mentawai-239_birdglue-1,240,Mentawai,239_birdglue,eket,eket,ɛ k ɛ t,,VonRosenberg1853,,,^ e k e t $,default,eket
Mentawai-240_treeoil-1,241,Mentawai,240_treeoil,tschoiëlakat,tschoiëlakat,tʃ t͡ʒ h o i <<ë>> l a k a t,,VonRosenberg1853,,,^ts c h o i <ë> l a k a t $,default,tsoi'elakat
Mentawai-241_arrowpoison-1,242,Mentawai,241_arrowpoison,ipoe,ipoe,i p u,,VonRosenberg1853,,,^ i p oe $,default,ipu
Mentawai-242_copperwire-1,243,Mentawai,242_copperwire,dakdjok,dakdjok,d a k d͡ʒ o k,,VonRosenberg1853,,,^ d a k dj o k $,default,dakjok
Mentawai-243_tin-1,244,Mentawai,243_tin,boelan,boelan,b u l a n,,VonRosenberg1853,,,^ b oe l a n $,default,bulan
Mentawai-244_medicine-1,245,Mentawai,244_medicine,lahket,lahket,l a h k ɛ t,,VonRosenberg1853,,,^ l a h k e t $,default,lahket
Mentawai-245_tobacco-1,246,Mentawai,245_tobacco,obeh,obeh,o b ɛ ʔ,,VonRosenberg1853,,,^ o b e h$,default,obe'
Mentawai-246_mirror-1,247,Mentawai,246_mirror,blikobat,blikobat,b l i k o b a t,,VonRosenberg1853,,,^ b l i k o b a t $,default,blikobat
Mentawai-247_cotton-1,248,Mentawai,247_cotton,komang,komang,k o m a ŋ,,VonRosenberg1853,,,^ k o m a ng $,default,komang
Mentawai-248_glassbeads-1,249,Mentawai,248_glassbeads,inoe,inoe,i n u,,VonRosenberg1853,,,^ i n oe $,default,inu
Mentawai-249_scissors-1,250,Mentawai,249_scissors,nab-nab,nab-nab,n a b <<->> n a b,,VonRosenberg1853,,,^ n a b <-> n a b $,default,nab-nab
Mentawai-250_needle-1,251,Mentawai,250_needle,pingolab,pingolab,p i ŋ o l a b,,VonRosenberg1853,,,^ p i ng o l a b $,default,pingolab
Mentawai-203_chest-2,252,Mentawai,203_chest,petie,petie,p ɛ t i,,VonRosenberg1853,,,^ p e t ie $,default,peti
Mentawai-251_axe-1,253,Mentawai,251_axe,bliok,bliok,b l i o k,,VonRosenberg1853,,,^ b l i o k $,default,bliok
Mentawai-252_cannon-1,254,Mentawai,252_cannon,tahko,tahko,t a h k o,,VonRosenberg1853,,,^ t a h k o $,default,tahko
Mentawai-253_load-1,255,Mentawai,253_load,moneij,moneij,m o n ɛi̯,,VonRosenberg1853,,,^ m o n eij $,default,mone:i
Mentawai-254_tomorrow-1,256,Mentawai,254_tomorrow,mantgeb,mantgeb,m a n t ɡ ɛ b,,VonRosenberg1853,,,^ m a n t g e b $,default,mantgeb
Mentawai-255_frog-1,257,Mentawai,255_frog,korreh,korreh,k o r r ɛ ʔ,,VonRosenberg1853,,,^ k o r r e h$,default,korre'
Mentawai-256_iguana-1,258,Mentawai,256_iguana,batteh,batteh,b a t t ɛ ʔ,,VonRosenberg1853,,,^ b a t t e h$,default,batte'
Mentawai-257_centipede-1,259,Mentawai,257_centipede,aloebat,aloebat,a l u b a t,,VonRosenberg1853,,,^ a l oe b a t $,default,alubat
Mentawai-258_cemetery-1,260,Mentawai,258_cemetery,rateij,rateij,r a t ɛi̯,,VonRosenberg1853,,,^ r a t eij $,default,rate:i
Mentawai-259_ten-1,261,Mentawai,259_ten,poeloe,poeloe,p u l u,,VonRosenberg1853,,,^ p oe l oe $,default,pulu
Mentawai-260_twenty-1,262,Mentawai,260_twenty,dongapoeloe,dongapoeloe,d o ŋ a p u l u,,VonRosenberg1853,,,^ d o ng a p oe l oe $,default,dongapulu
Mentawai-261_thirty-1,263,Mentawai,261_thirty,telongapoeloe,telongapoeloe,t ɛ l o ŋ a p u l u,,VonRosenberg1853,,,^ t e l o ng a p oe l oe $,default,telongapulu
Mentawai-262_forty-1,264,Mentawai,262_forty,ebatnapoeloe,ebatnapoeloe,ɛ b a t n a p u l u,,VonRosenberg1853,,,^ e b a t n a p oe l oe $,default,ebatnapulu
Mentawai-263_seventy-1,265,Mentawai,263_seventy,pitongapoeloe,pitongapoeloe,p i t o ŋ a p u l u,,VonRosenberg1853,,,^ p i t o ng a p oe l oe $,default,pitongapulu
Mentawai-264_eighty-1,266,Mentawai,264_eighty,walongapoeloe,walongapoeloe,w a l o ŋ a p u l u,,VonRosenberg1853,,,^ w a l o ng a p oe l oe $,default,walongapulu
Mentawai-265_ninety-1,267,Mentawai,265_ninety,siwanongpoeloe,siwanongpoeloe,s i w a n o ŋ p u l u,,VonRosenberg1853,,,^ s i w a n o ng p oe l oe $,default,siwanongpulu
Mentawai-266_onehundred-1,268,Mentawai,266_onehundred,singotoe,singotoe,s i ŋ o t u,,VonRosenberg1853,,,^ s i ng o t oe $,default,singotu
Mentawai-267_twohundred-1,269,Mentawai,267_twohundred,dongenotoe,dongenotoe,d o ŋ ɛ n o t u,,VonRosenberg1853,,,^ d o ng e n o t oe $,default,dongenotu
