ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
29	besilie	b e s i l i	besili	b ɛ s i l i	bɛsili	ruilen	exchange	EXCHANGE	2509	428	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
30	atei	a t e i	atei	a t ɛ i	atɛi	beminnen	love	LOVE	923	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
31	einehe	e i n e h e	einehe	ɛ i n ɛ h ɛ	ɛinɛhɛ	wenschen	wishes	LONGING (WISH)	2960	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
32	soelap	s u l a p	sulap	s u l a p	sulap	naaijen	sewing	SEW	1457	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
33	kareij	k a r e:i	kare:i	k a r ɛi̯	karɛi̯	klimmen	climb	CLIMB	1102	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
34	soerat	s u r a t	surat	s u r a t	surat	lezen en schrijven	reading and writing	<NA>		429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
35	melotto	m e l o t t o	melotto	m ɛ l o t t o	mɛlotto	vreezen	dread	FEAR (FRIGHT)	781	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
36	pogoloe	p o g o l u	pogolu	p o ɡ o l u	poɡolu	vechten	fight	FIGHT	1423	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
37	tietie	t i t i	titi	t i t i	titi	tatouëren	tattoo	TATTOO	68	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
38	menanggo	m e n a ng g o	menanggo	m ɛ n a ŋ ɡ o	mɛnaŋɡo	stelen	steal	STEAL	713	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
39	popogoij	p o p o g o:i	popogo:i	p o p o ɡ oːi̯	popoɡoːi̯	leugen	lie	LIE (FALSEHOOD)	2826	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
40	loeka	l u k a	luka	l u k a	luka	roeijen	rowing	QUARREL	1848	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
41	galeij	g a l e:i	gale:i	ɡ a l ɛi̯	ɡalɛi̯	werken	work	WORKING OR WORK	2281	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
42	goeaba	g u a b a	guaba	ɡ u a b a	ɡuaba	denken	thinking	THINK	2271	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
43	idoe	i d u	idu	i d u	idu	ruiken	smell	SMELL	2124	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
44	abara	a b a r a	abara	a b a r a	abara	binden	bind	TIE	1917	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
45	melija	m e l i y a	meliya	m ɛ l i j a	mɛlija	huwen	marrying	MARRY	203	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
46	moele-moele	m u l e - m u l e	mule-mule	m u l ɛ - m u l ɛ	mulɛ-mulɛ	groeten	regards	GREET	3552	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
47	melala	m e l a l a	melala	m ɛ l a l a	mɛlala	zwemmen	swimming	SWIM	1439	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
48	tjilagoeij	c i l a g u:i	cilagu:i	t͡ʒ i l a ɡ ui̯	t͡ʒilaɡui̯	boogschieten	archery	SHOOT	1172	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
49	simaliet	s i m a l i t	simalit	s i m a l i t	simalit	dansen	dance	DANCE	1879	429	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
