ID	Mentawai	Commons	CommonsNotSegmented	IPA	IPAnotSegmented	Dutch	English	CONCEPTICON_GLOSS	CONCEPTICON_ID	Page	Category	Dialect	Source	Doculect
118	soeloeh	s u l u '	sulu'	s u l u ʔ	suluʔ	zon	sun	SUN	1343	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
119	lakko	l a k k o	lakko	l a k k o	lakko	maan	moon	MOON	1313	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
120	pinjangang	p i n y a ng a ng	pinyangang	p i n j a ŋ a ŋ	pinjaŋaŋ	ster	star	STAR	1430	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
121	benoea	b e n u a	benua	b ɛ n u a	bɛnua	hemel	sky	SKY	1732	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
122	oerat	u r a t	urat	u r a t	urat	regen	rain	RAINING OR RAIN	2108	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
123	roesah	r u s a '	rusa'	r u s a ʔ	rusaʔ	wind	wind	WIND	960	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
124	lalehgoe	l a l e ' g u	lale'gu	l a l ɛ ʔ ɡ u	lalɛʔɡu	donder	thunder	THUNDER	1150	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
125	moboesetbenoea	m o b u s e t b e n u a	mobusetbenua	m o b u s ɛ t b ɛ n u a	mobusɛtbɛnua	bliksem	lightning	LIGHTNING	1654	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
126	enggoij	e ng g o:i	enggo:i	ɛ ŋ ɡ oːi̯	ɛŋɡoːi̯	aarde	earth	EARTH (SOIL)	1228	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
127	oinan	o i n a n	oinan	o i n a n	oinan	water	water	WATER	948	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
128	aloetet	a l u t e t	alutet	a l u t ɛ t	alutɛt	vuur	fire	FIRE	221	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
129	oeka akeh	u k a _ a k e '	uka ake'	u k a _ a k ɛ ʔ	uka akɛʔ	rivier	river	RIVER	666	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
130	lehlejoe	l e h l e y u	lehleyu	l ɛ h l ɛ j u	lɛhlɛju	berg	mountain	MOUNTAIN	639	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
131	liboet	l i b u t	libut	l i b u t	libut	eiland	island	ISLAND	622	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
132	boekko	b u k k o	bukko	b u k k o	bukko	steen	stone	STONE (OF FRUIT)	1762	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
133	behbehkwat	b e ' b e h k w a t	be'behkwat	b ɛ ʔ b ɛ h k w a t	bɛʔbɛhkwat	zeestrand	sea beach	BEACH	3460	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
134	boekei	b u k e i	bukei	b u k ɛ i	bukɛi	zand	sand	SAND	671	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
135	koat	k o a t	koat	k o a t	koat	zee	sea	SEA	1474	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
136	oeneij	u n e:i	une:i	u n ɛi̯	unɛi̯	rots	rock	ROCK	668	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
137	taiteij	t a i t e:i	taite:i	t a i t ɛi̯	taitɛi̯	vuursteen	flint	STONE	857	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
138	lahba	l a ' b a	la'ba	l a ʔ b a	laʔba	yzer	yzer	<NA>		430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
139	latjo	l a c o	laco	l a t͡ʒ o	lat͡ʒo	koper	copper	COPPER	1825	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
140	boelagat	b u l a g a t	bulagat	b u l a ɡ a t	bulaɡat	gepolijst metaal	polished metal	METAL	2244	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
141	bakan	b a k a n	bakan	b a k a n	bakan	boom	tree	TREE	906	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
142	toitet	t o i t e t	toitet	t o i t ɛ t	toitɛt	kokosboom	coconut tree	COCONUT TREE	147	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
143	sageij	s a g e:i	sage:i	s a ɡ ɛi̯	saɡɛi̯	sagopalm	sago palm	SAGO PALM	2372	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
144	pakau	p a k a u	pakau	p a k a u	pakau	pinang	pinang	BETELNUT	217	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
145	alieboek	a l i b u k	alibuk	a l i b u k	alibuk	nibong	nibong	PALM TREE	1181	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
146	bako	b a k o	bako	b a k o	bako	pisang	pisang	BANANA TREE	1795	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
147	koleh	k o l e '	kole'	k o l ɛ ʔ	kolɛʔ	suikerriet	sugar cane	SUGAR CANE	146	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
148	poolah	p o o l a '	poola'	p o o l a ʔ	poolaʔ	langkopalm	long-headed palm	PALM TREE	1181	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
149	penilok	p e n i l o k	penilok	p ɛ n i l o k	pɛnilok	aroeboom	arum	<NA>		430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
150	meketteh	m e k e t t e '	mekette'	m ɛ k ɛ t t ɛ ʔ	mɛkɛttɛʔ	kladdie	kladdie	TARO	351	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
151	gobbie	g o b b i	gobbi	ɡ o b b i	ɡobbi	obie	obie	YAM	410	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
152	doria	d o r i a	doria	d o r i a	doria	doerian	durian	<NA>		430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
153	limau	l i m a u	limau	l i m a u	limau	citroenboom	lemon tree	LEMON	3091	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
154	mangie	m a ng i	mangi	m a ŋ i	maŋi	manggostan	manggostan	<NA>		430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
155	lahro	l a h r o	lahro	l a h r o	lahro	spaansche peper	spanish pepper	PEPPER	1385	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
156	tjabbei	c a b b e i	cabbei	t͡ʒ a b b ɛ i	t͡ʒabbɛi	sirie	sirie	BETELNUT	217	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
157	mehgiab	m e ' g i a b	me'giab	m ɛ ʔ ɡ i a b	mɛʔɡiab	bamboe	bamboo	BAMBOO	1927	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
158	sahsa	s a h s a	sahsa	s a h s a	sahsa	rotting	decay	ROT	2907	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
159	sitapeijpeij	s i t a p e:i p e:i	sitape:ipe:i	s i t a p ɛi̯ p ɛi̯	sitapɛi̯pɛi̯	schulp	shell	SHELL	598	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
160	bohboket	b o ' b o k e t	bo'boket	b o ʔ b o k ɛ t	boʔbokɛt	oester	oyster	OYSTERS	2830	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
161	legoe	l e g u	legu	l ɛ ɡ u	lɛɡu	muskiet	mosquito	MOSQUITO	1509	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
162	manies	m a n i s	manis	m a n i s	manis	bij	at	AT	1461	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
163	manies	m a n i s	manis	m a n i s	manis	honig	honey	HONEY	942	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
164	lili	l i l i	lili	l i l i	lili	was	wash	WASH	1453	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
165	sigeb	s i g e b	sigeb	s i ɡ ɛ b	siɡɛb	mier	ant	ANT	587	430	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
166	singoemin	s i ng u m i n	singumin	s i ŋ u m i n	siŋumin	kreeft	lobster	LOBSTER	2397	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
167	kobet	k o b e t	kobet	k o b ɛ t	kobɛt	koraal	coral	CORAL ROCK	3179	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
168	iwah	i w a '	iwa'	i w a ʔ	iwaʔ	visch	fish	FISH	227	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
169	sabah	s a b a '	saba'	s a b a ʔ	sabaʔ	slang	snake	SNAKE	730	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
170	keijra	k e:i r a	ke:ira	k ɛi̯ r a	kɛi̯ra	schildpad	turtle	TURTLE	112	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
171	koinan	k o i n a n	koinan	k o i n a n	koinan	krokodil	crocodile	CROCODILE	1857	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
172	oemeij	u m e:i	ume:i	u m ɛi̯	umɛi̯	vogel	bird	BIRD	937	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
173	etehloe	e t e h l u	etehlu	ɛ t ɛ h l u	ɛtɛhlu	vogelei	bird's egg	EGG	744	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
174	gaugau	g a u g a u	gaugau	ɡ a u ɡ a u	ɡauɡau	hoen	fowl	FOWL	265	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
175	labeij	l a b e:i	labe:i	l a b ɛi̯	labɛi̯	reiger	heron	HERON	758	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
176	adere	a d e r e	adere	a d ɛ r ɛ	adɛrɛ	perikiet	perikite	PARAKEET	886	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
177	moiriet	m o i r i t	moirit	m o i r i t	moirit	boschduif	wood pigeon	BIRD	937	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
178	maijang	m a:i a ng	ma:iang	m aːi̯ a ŋ	maːi̯aŋ	roofvogel	bird of prey	EAGLE	1905	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
179	ngoeroet	ng u r u t	ngurut	ŋ u r u t	ŋurut	bejo	bejo	PARAKEET	886	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
180	bilau	b i l a u	bilau	b i l a u	bilau	aap	monkey	MONKEY	1350	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
181	tjetje	c e c e	cece	t͡ʒ ɛ t͡ʒ ɛ	t͡ʒɛt͡ʒɛ	hert	deer	DEER	1936	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
182	djodjo	j o j o	jojo	d͡ʒ o d͡ʒ o	d͡ʒod͡ʒo	hond	dog	DOG	2009	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
183	kohko	k o h k o	kohko	k o h k o	kohko	varken	pig	PIG	1337	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
184	biroet	b i r u t	birut	b i r u t	birut	rat	rat	RAT	1490	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
185	mau	m a u	mau	m a u	mau	kat	cat	CAT	1208	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
186	seribenoea	s e r i b e n u a	seribenua	s ɛ r i b ɛ n u a	sɛribɛnua	mensch	human	PERSON	683	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
187	temandejoe	t e m a n d e y u	temandeyu	t ɛ m a n d ɛ j u	tɛmandɛju	man	man	MAN	1554	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
188	sinanaleb	s i n a n a l e b	sinanaleb	s i n a n a l ɛ b	sinanalɛb	vrouw	woman	WOMAN	962	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
189	toga	t o g a	toga	t o ɡ a	toɡa	kind	child	CHILD	2099	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
190	okoei	o k u i	okui	o k u i	okui	vader	father	FATHER	1217	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
191	kmaman	k m a m a n	kmaman	k m a m a n	kmaman	moeder	mother	MOTHER	1216	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
192	bagie	b a g i	bagi	b a ɡ i	baɡi	zuster	sister	SISTER	1263	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
193	keboe	k e b u	kebu	k ɛ b u	kɛbu	broeder	brother	BROTHER	1262	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
194	seraina	s e r a i n a	seraina	s ɛ r a i n a	sɛraina	vriend	friend	FRIEND	1325	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
195	oete	u t e	ute	u t ɛ	utɛ	hoofd	head	HEAD	1256	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
196	alei	a l e i	alei	a l ɛ i	alɛi	haar	hair	HAIR	1040	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
197	boekkoe	b u k k u	bukku	b u k k u	bukku	voorhoofd	forehead	FOREHEAD	123	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
198	mata	m a t a	mata	m a t a	mata	oogen	eyes	EYE	1248	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
199	ngoengoe	ng u ng u	ngungu	ŋ u ŋ u	ŋuŋu	mond	mouth	MOUTH	674	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
200	gigie	g i g i	gigi	ɡ i ɡ i	ɡiɡi	oor	ear	EAR	1247	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
201	tschon	t s o n	tson	t ʃ o n	tʃon	tand	tooth	TOOTH	1380	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
202	lilah	l i l a '	lila'	l i l a ʔ	lilaʔ	tong	tongue	TONGUE	1205	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
203	ellokot	e l l o k o t	ellokot	ɛ l l o k o t	ɛllokot	hals	neck	NECK	1333	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
204	topot	t o p o t	topot	t o p o t	topot	borst	chest	BOX	1465	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
205	bogah	b o g a '	boga'	b o ɡ a ʔ	boɡaʔ	buik	belly	BELLY	1251	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
206	parah	p a r a '	para'	p a r a ʔ	paraʔ	arm	arm	ARM	1673	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
207	kabeij	k a b e:i	kabe:i	k a b ɛi̯	kabɛi̯	hand	hand	HAND	1277	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
208	magatpa	m a g a t p a	magatpa	m a ɡ a t p a	maɡatpa	dij	thigh	UPPER LEG (THIGH)	471	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
209	dereh	d e r e '	dere'	d ɛ r ɛ ʔ	dɛrɛʔ	voet	foot	FOOT	1301	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
210	simoengeij	s i m u ng e:i	simunge:i	s i m u ŋ ɛi̯	simuŋɛi̯	teen	toe	TOE	1389	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
211	siroeroet	s i r u r u t	sirurut	s i r u r u t	sirurut	haarversiersel	hair ornament	ORNAMENT	917	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
212	sekelle	s e k e l l e	sekelle	s ɛ k ɛ l l ɛ	sɛkɛllɛ	halsband	collar	COLLAR	2012	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
213	leijleij	l e:i l e:i	le:ile:i	l ɛi̯ l ɛi̯	lɛi̯lɛi̯	buikversiersel	belly ornament	ORNAMENT	917	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
214	kabiet	k a b i t	kabit	k a b i t	kabit	schaamgordel	pubic belt	BELT	772	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
215	toerok	t u r o k	turok	t u r o k	turok	mannenhoed	men's hat	HAT	771	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
216	toetoe	t u t u	tutu	t u t u	tutu	vrouwenhoed	women's hat	HAT	771	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
217	libbei	l i b b e i	libbei	l i b b ɛ i	libbɛi	vrouwenkleed	women's dress	DRESS	474	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
218	raurau	r a u r a u	raurau	r a u r a u	raurau	boog	bow	BOW	994	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
219	loeggoeij	l u g g u:i	luggu:i	l u ɡ ɡ ui̯	luɡɡui̯	pijl	arrow	ARROW	977	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
220	boekboek	b u k b u k	bukbuk	b u k b u k	bukbuk	pijlkoker	quiver	QUIVER (FOR ARROWS)	995	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
221	koerabiet	k u r a b i t	kurabit	k u r a b i t	kurabit	schild	shield	SHIELD	1064	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
222	soat	s o a t	soat	s o a t	soat	lans	lance	SPEAR	945	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
223	siloekoet	s i l u k u t	silukut	s i l u k u t	silukut	sabel	sabre	SWORD	1535	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
224	bliete	b l i t e	blite	b l i t ɛ	blitɛ	dolkmes	dagger knife	KNIFE	1352	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
225	betoeitet	b e t u i t e t	betuitet	b ɛ t u i t ɛ t	bɛtuitɛt	schietgeweer	shotgun	SHOTGUN	3948	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
226	bogohloe	b o g o h l u	bogohlu	b o ɡ o h l u	boɡohlu	oorlog	war	WAR	935	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
227	paparat	p a p a r a t	paparat	p a p a r a t	paparat	kapmes	machete	MACHETE	2680	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
228	niroe	n i r u	niru	n i r u	niru	vijl	file	FILE (TOOL)	3407	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
229	papat	p a p a t	papat	p a p a t	papat	plank	board	BOARD	1227	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
230	loenah	l u n a '	luna'	l u n a ʔ	lunaʔ	hout	wood	WOOD	1803	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
231	abak	a b a k	abak	a b a k	abak	kano	canoe	CANOE	1970	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
232	knabat	k n a b a t	knabat	k n a b a t	knabat	schip	ship	SHIP	740	431	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
233	loeka	l u k a	luka	l u k a	luka	roeispaan	oar	OAR	3137	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
234	soatiwa	s o a t i w a	soatiwa	s o a t i w a	soatiwa	harpoen	harpoon	FISHING SPEAR	841	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
235	kwalie	k w a l i	kwali	k w a l i	kwali	pan	pan	PAN	31	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
236	laleb	l a l e b	laleb	l a l ɛ b	lalɛb	huis	house	HOUSE	1252	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
237	lakkei	l a k k e i	lakkei	l a k k ɛ i	lakkɛi	dorp	village	VILLAGE	930	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
238	tobat	t o b a t	tobat	t o b a t	tobat	dak	roof	ROOF	769	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
239	sinetoe	s i n e t u	sinetu	s i n ɛ t u	sinɛtu	duivel	devil	DEVIL	3917	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
240	eket	e k e t	eket	ɛ k ɛ t	ɛkɛt	vogellijm	bird glue	GLUE	1069	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
241	tschoiëlakat	t s o i 'e l a k a t	tsoi'elakat	t ʃ o i ʔɛ l a k a t	tʃoiʔɛlakat	boomolie	tree oil	OIL (FROM PLANTS)	2555	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
242	ipoe	i p u	ipu	i p u	ipu	pijlvergif	arrow poison	POISON	655	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
243	dakdjok	d a k j o k	dakjok	d a k d͡ʒ o k	dakd͡ʒok	koperdraad	copper wire	WIRE	2631	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
244	boelan	b u l a n	bulan	b u l a n	bulan	tin	tin	TIN (METAL)	893	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
245	lahket	l a h k e t	lahket	l a h k ɛ t	lahkɛt	medicijn	medicine	MEDICINE	1372	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
246	obeh	o b e '	obe'	o b ɛ ʔ	obɛʔ	tabak	tobacco	TOBACCO	974	432	word list	Other Mentawai Islands (Overige Mentaweij eilanden) - Not Tepeket	von Rosenberg (1853)	Mentawai
